time,ECI_X,ECI_Y,ECI_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
3.5339303331e+02,9.7522355451e+03,2.2124383259e+03,9.7522355451e-01,-1.3963807964e+00,6.1535217573e+00,-1.3963807964e-04,6.3099690463e+00,1.0000049121e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362210e-04,-6.9470320239e-04,-9.9999998994e-05,-6.9470320239e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2217169395e+00,-3.0614121719e+00,-3.0613559564e+00,-5.6215497853e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
3.7074819401e+02,9.7274164474e+03,2.3190987946e+03,9.7274164474e-01,-1.4637309721e+00,6.1378541353e+00,-1.4637309721e-04,6.3099731985e+00,1.0000042545e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-4.4408920985e-16,6.3100000000e+04,7.0186362210e-04,-6.9470320238e-04,-9.9999998993e-05,-6.9470320238e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2326679454e+00,-3.0504535054e+00,-3.0503896266e+00,-6.3878749435e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
3.8810335470e+02,9.7014299880e+03,2.4254809542e+03,9.7014299880e-01,-1.5309056305e+00,6.1214498918e+00,-1.5309056305e-04,6.3099778804e+00,1.0000035131e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-4.4408920985e-16,6.3100000000e+04,7.0186362210e-04,-6.9470320238e-04,-9.9999998992e-05,-6.9470320238e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2436189666e+00,-3.0394948312e+00,-3.0394232969e+00,-7.1534335087e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
4.0545851540e+02,9.6742792829e+03,2.5315720376e+03,9.6742792829e-01,-1.5978967262e+00,6.1043109882e+00,-1.5978967262e-04,6.3099830914e+00,1.0000026878e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362209e-04,-6.9470320238e-04,-9.9999998991e-05,-6.9470320238e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2545700050e+00,-3.0285361484e+00,-3.0284569671e+00,-7.9181336065e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
4.2350361157e+02,9.6448181397e+03,2.6415583125e+03,9.6448181397e-01,-1.6673477051e+00,6.0857138993e+00,-1.6673477051e-04,6.3099890699e+00,1.0000017410e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362209e-04,-6.9470320238e-04,-9.9999998990e-05,-6.9470320238e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2659564102e+00,-3.0171418051e+00,-3.0170546829e+00,-8.7122245793e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
4.4154870774e+02,9.6141056834e+03,2.7512018732e+03,9.6141056834e-01,-1.7365825696e+00,6.0663271969e+00,-1.7365825696e-04,6.3099956190e+00,1.0000007038e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-4.4408920985e-16,6.3100000000e+04,7.0186362209e-04,-6.9470320237e-04,-9.9999998989e-05,-6.9470320237e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2773428379e+00,-3.0057474505e+00,-3.0056523987e+00,-9.5051852323e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
4.5959380391e+02,9.5821458946e+03,2.8604884934e+03,9.5821458946e-01,-1.8055923547e+00,6.0461533860e+00,-1.8055923547e-04,6.3100027378e+00,9.9999957643e+03,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362209e-04,-6.9470320237e-04,-9.9999998988e-05,-6.9470320237e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2887292903e+00,-2.9943530835e+00,-2.9942501144e+00,-1.0296912683e-04,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
4.7763890008e+02,9.5489429157e+03,2.9694039930e+03,9.5489429157e-01,-1.8743681239e+00,6.0251950731e+00,-1.8743681239e-04,6.3100104253e+00,9.9999835896e+03,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362208e-04,-6.9470320237e-04,-9.9999998986e-05,-6.9470320237e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.3001157694e+00,-2.9829587032e+00,-2.9828478302e+00,-1.1087304207e-04,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
4.9631856799e+02,9.5132673764e+03,3.0817436158e+03,9.5132673764e-01,-1.9453064583e+00,6.0026762606e+00,-1.9453064583e-04,6.3100189813e+00,9.9999700396e+03,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362208e-04,-6.9470320236e-04,-9.9999998985e-05,-6.9470320236e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.3119026943e+00,-2.9711636143e+00,-2.9710445746e+00,-1.1903974040e-04,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
5.1499823591e+02,9.4762692405e+03,3.1936547944e+03,9.4762692405e-01,-2.0159746414e+00,5.9793228203e+00,-2.0159746414e-04,6.3100281445e+00,9.9999555280e+03,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-8.8817841970e-16,6.3100000000e+04,7.0186362207e-04,-6.9470320236e-04,-9.9999998983e-05,-6.9470320236e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.3236896524e+00,-2.9593685088e+00,-2.9592413189e+00,-1.2718988903e-04,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
